predicted_labels	true_labels	lil_interpretations	gil_interpretations
27	7	[('re looking', -0.3551783859729767), (' re looking', -0.3765309527516365), ('you  re looking', -0.3886070838198066)]	['Expected that. Thanks for your valuable feedback', 'If you enjoyed it, go for it']
0	27	[('su ##p', -0.4727019891142845), ('vp ##r', -0.4859279505908489)]	['Awesome map!', 'This sounds like a great idea!']
0	27	[('-LSB- name -RSB-', -0.27801233530044556)]	['Happy New Year to you, too!', 'Awesome map!']
20	0	[('he  s there', -0.041459277272224426), ('lo ##l', -0.07087738066911697), (' s there', -0.07391490042209625), ('being respectful', -0.07471845299005508), ('s there', -0.08795028924942017)]	['Expected that. Thanks for your valuable feedback', 'No worries. Have a nice day']
27	20	"[('s time', -0.27586672827601433), (""' s time"", -0.2957019507884979), (""it ' s time"", -0.30951930209994316), ('do it already', -0.3173815403133631)]"	['Feel you pain. Stay strong', 'Good luck and Godspeed']
1	4	[('a mail ##man', -0.19263609685003757), ('was a mail ##man', -0.20040316600352526)]	['That was so disgusting. VWP', 'Wow, that was insane']
27	4	[('l ##m ##fa', -0.4872683146968484)]	['Those ears...those horrible ears', 'Expected that. Thanks for your valuable feedback']
27	20	[('renewed interest', -0.15419982559978962), ('best animated picture', -0.16168312728405), ('more 3d screenings', -0.16394966840744019), ('for best animated picture', -0.168393743224442), ('to more 3d screenings', -0.16999363573268056)]	['Expected that. Thanks for your valuable feedback', 'I look forward to it']
3	27	[('sounds like she loves', 0.05454447865486145), ('like she loves', 0.017017215490341187), ('she loves', -0.01618589460849762), ('ruin a', -0.05220907926559448), ('ll just ruin a', -0.05288355052471161)]	['damn it, you beat me to it', 'I’m not crying. You’re crying']
27	14	[('our hands', -0.37414729595184326), ('very risky', -0.3771553598344326), ('a fight', -0.3819208722561598), ('on our hands', -0.38347612135112286), ('a powerful country', -0.38481289334595203)]	"[""WE'LL CALL IT A DRAW"", ""Don't do that. Only villains do that""]"
27	4	[('no problem', -0.30553707480430603)]	['Expected that. Thanks for your valuable feedback', 'No worries. Have a nice day']
27	0	[('kin ##ky', -0.15502584166824818), ('for keeps', -0.1559466514736414), ('kinda creepy', -0.15696059353649616), ('s kin ##ky', -0.15881150215864182), ('be for keeps', -0.16651088651269674)]	['That was so disgusting. VWP', 'Yeah, this seems weird to me, too']
27	27	[('pro -', -0.4583716560155153), ('he ', -0.4597621578723192), ('s pro -', -0.46702310256659985)]	['Expected that. Thanks for your valuable feedback', 'If you enjoyed it, go for it']
27	17	[('to stop', -0.2530501428991556), ('anything to stop', -0.26596186123788357), ('doing anything to stop', -0.27517103496938944)]	['Cuddling. Lots of cuddling', 'So, so good']
27	14	[('the floor', -0.22009052708745003), ('on the floor', -0.24152304977178574), ('s on the floor', -0.24527059774845839)]	['Cuddling. Lots of cuddling', 'Wow, that was insane']
27	11	"[('s disgusting', -0.15902671217918396), ('that article', -0.17284250631928444), (""' s disgusting"", -0.1743394210934639), (""' t ordinary"", -0.17541952058672905), (""aren ' t ordinary"", -0.18853513151407242)]"	['damn it, you beat me to it', 'This is a joke, right...?']
0	15	[('that ', -0.268565870821476), ('pretty good', -0.2771231345832348), ('a pretty good idea', -0.3162700552493334)]	"[""That sounds really cool! I'll be there"", 'That was informative. Thank you']"
5	0	"[('other ml ##ms', 0.34925562143325806), ('lu ##lar ##oe', 0.21183937788009644), ('whatever they can', 0.1991240680217743), (""' s left"", 0.14963334798812866), ('to stop it', 0.08279898762702942)]"	['Feel you pain. Stay strong', 'Expected that. Thanks for your valuable feedback']
27	5	[('move away', -0.24939531832933426), ('st louis', -0.25077730789780617), ('his family', -0.25401102751493454), ('is there', -0.256485179066658), ('leave st louis', -0.26795731857419014)]	"['Those ears...those horrible ears', ""Don't endorse violence against people""]"
27	3	[('their selfish ##ness', -0.262298159301281), ('my grandparents / aunt', -0.26646205969154835)]	['What the fuck are you talking about', 'damn it, you beat me to it']
3	27	[('the only reason', 0.03488725423812866), ('to eat this', -0.003550708293914795), ('eat this', -0.03994600474834442), ('it is gross', -0.05722925066947937), ('really strange', -0.05959952622652054)]	['Those ears...those horrible ears', 'Wow, that was insane']
27	18	[('all the time', -0.20720014348626137), ('just these two', -0.21527883224189281), ('with just these two', -0.22253840463235974)]	['This sounds like a great idea!', 'That sounds really helpful, thanks so much']
27	17	[('those pitchfork ##s', -0.6032182108610868), ('those pitchfork ##s ready', -0.6198582975193858)]	"[""I'll be right back!"", ""Tailed. Let's get it!""]"
15	15	[]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
