predicted_labels	true_labels	lil_interpretations	gil_interpretations
27	7	[('you  re looking', -0.653358481824398), (' re looking', -0.6807701364159584), ('re looking', -0.6816015169024467)]	"[""I've wanted this for so long"", ""Hmm. I don't disagree. It's unfortunate""]"
0	27	[('vp ##r', -0.6818688437342644), ('su ##p', -0.6820869855582714)]	"[""That sounds really cool! I'll be there"", ""I'm also happy you're still here!!""]"
27	27	[('-LSB- name -RSB-', -0.5667534098029137)]	"['Cuddling. Lots of cuddling', ""I'll be right back!""]"
1	0	[('being respectful', -0.3192351832985878), (' s there', -0.33450986444950104), ('he  s there', -0.3378337249159813), ('s there', -0.34482185170054436), ('lo ##l', -0.3622378222644329)]	['Thank you for educating me. Lol', 'Lol i love this person']
4	20	"[('s time', -0.15700910240411758), (""' s time"", -0.16262593865394592), ('do it already', -0.16544663906097412), (""it ' s time"", -0.1744929999113083)]"	['So, so good', 'That was informative. Thank you']
27	4	[('a mail ##man', -0.31560368090867996), ('was a mail ##man', -0.31748364865779877)]	['Cuddling. Lots of cuddling', 'Wow, that was insane']
27	4	[('l ##m ##fa', -0.4285062178969383)]	['That was so disgusting. VWP', 'Those ears...those horrible ears']
20	20	[('for best animated picture', -0.2290046364068985), ('best animated picture', -0.2738731950521469), ('renewed interest', -0.33425644785165787), ('more 3d screenings', -0.36852288991212845), ('to more 3d screenings', -0.37365780770778656)]	"[""WE'LL CALL IT A DRAW"", ""That sounds really cool! I'll be there""]"
9	27	[('ruin a', -0.11554756760597229), ('she loves', -0.12056919559836388), ('like she loves', -0.1340021751821041), ('sounds like she loves', -0.15096013061702251), ('ll just ruin a', -0.15457782708108425)]	['Thank you. I appreciate it', 'I’m not crying. You’re crying']
27	14	[('could be very risky', -0.14287225902080536), ('be very risky', -0.17823686450719833), ('worse on our hands', -0.18766383081674576), ('on our hands', -0.20448696613311768), ('very risky', -0.21460212767124176)]	"[""This... I don't think this is Ohio"", ""Natural or not monopolies aren't good""]"
27	4	[('no problem', -0.257919792085886)]	"['This dude was joking. OP is retarded', ""The dense stuff isn't very accessible. :/""]"
27	0	[('is kinda creepy', -0.4525904208421707), ('may be for keeps', -0.45442022383213043), ('kinda creepy', -0.45766958594322205), ('be for keeps', -0.4586590677499771), ('for keeps', -0.4612061232328415)]	['DONT BE NEEDY. TALK TO OTHER GIRLS', 'Cuddling. Lots of cuddling']
4	27	[('pro -', -0.2833213061094284), ('s pro -', -0.2950560450553894), ('he ', -0.3098991885781288)]	['Expected that. Thanks for your valuable feedback', 'If you enjoyed it, go for it']
18	17	[('to stop', -0.43380374647676945), ('anything to stop', -0.4384655188769102), ('doing anything to stop', -0.4438185188919306)]	"['If you enjoyed it, go for it', ""I've wanted this for so long""]"
14	14	[('the floor', -0.633150190114975), ('on the floor', -0.6363805495202541), ('s on the floor', -0.6438458524644375)]	['Hahahaha. This. This right here. 😂', 'Cuddling. Lots of cuddling']
11	11	"[(""' t ordinary"", -0.32033538818359375), (""' s disgusting"", -0.3225705325603485), (""aren ' t ordinary"", -0.3244253322482109), ('that article', -0.3284228704869747), ('s disgusting', -0.33109691739082336)]"	['Those ears...those horrible ears', 'Damn, that was dirty']
0	15	[('a pretty good idea', -0.5089926719665527), ('pretty good', -0.5258860252797604), ('that ', -0.5272500030696392)]	"[""That sounds really cool! I'll be there"", ""It's a great article. She nailed it""]"
27	0	"[('lu ##lar ##oe', -0.20396576821804047), ('other ml ##ms', -0.20772649347782135), (""' s left"", -0.2124701291322708), ('so hard', -0.22245657444000244), ('stop it', -0.23322133347392082)]"	['Expected that. Thanks for your valuable feedback', 'Feel you pain. Stay strong']
27	5	"[('is there', -0.42466971278190613), ('his family', -0.4311432018876076), ('move away', -0.43354177474975586), ('st louis', -0.44091377034783363), (""' t move away"", -0.44179194420576096)]"	['Thank you. I appreciate it', 'I know. I get that a lot']
7	3	[('their selfish ##ness', -0.2705944702029228), ('my grandparents / aunt', -0.2949201241135597)]	['bruh, in what way', 'Oh, Boy. You into phrenology too']
11	27	[('it is gross', -0.14548680558800697), ('the only reason', -0.14710276573896408), ('if it is gross', -0.14890528097748756), ('eat this', -0.15552739799022675), ('is gross', -0.15629443526268005)]	['Wow, that was insane', 'Cuddling. Lots of cuddling']
27	18	[('with just these two', -0.24675635993480682), ('just these two', -0.29535917192697525), ('all the time', -0.3150779530405998)]	['Cuddling. Lots of cuddling', 'Expected that. Thanks for your valuable feedback']
1	17	[('those pitchfork ##s ready', -0.49178454279899597), ('those pitchfork ##s', -0.5894562304019928)]	['That was so disgusting. VWP', 'Thank you for educating me. Lol']
15	15	[]	['Thank you for your service', 'thank you!']
14	9	"[('ll stay', -0.3484829142689705), ('the same level', -0.3576230965554714), (""' ll stay"", -0.36057304590940475), ('at the same level', -0.3617471419274807)]"	"['This is so sad. #playdespacito', ""WE'LL CALL IT A DRAW""]"
27	10	"[(""' s not happening"", -0.27252939343452454), ('s not happening', -0.28960489109158516)]"	['bruh, in what way', 'I know. I get that a lot']
27	27	[('that 2nd week', -0.780327320098877)]	['Cuddling. Lots of cuddling', 'This is so sad. #playdespacito']
27	22	[('had ~ 10 shots', -0.508776031434536), ('~ 10 shots', -0.5142921656370163), ('~ 10', -0.5144168511033058), ('the 40 ', -0.5165674984455109), ('the 40  mark', -0.5261552892625332)]	['Cuddling. Lots of cuddling', 'Gotta admit, I chuckled at this one']
0	0	[('so cool', -0.72964271530509), ('s so cool', -0.7358408831059933)]	"[""I'll be right back!"", ""That sounds really cool! I'll be there""]"
7	18	[('to know too', -0.24490439146757126), ('know too', -0.24777191877365112), ('my first ever relationship', -0.24823689833283424), ('how lucky', -0.2533324211835861), ('first ever', -0.25979456305503845)]	"['bruh, in what way', ""Genius. I'm so doing this""]"
27	15	[('loyalty , honesty', -0.4540662318468094)]	"['Good luck and Godspeed', ""That sounds really cool! I'll be there""]"
