predicted_labels	true_labels	lil_interpretations	gil_interpretations
0	1	"[('often affecting', 0.0023979544639587402), ('charming and often affecting', -0.21223872900009155), ('a charming and often affecting journey', -0.3344581872224808), ('s a charming and often affecting journey', -0.346587210893631), (""' s a charming and often affecting journey"", -0.40500523149967194)]"	"[""that 's far too tragic to merit such superficial treatment"", ""the part where nothing 's happening ,"", 'remains utterly satisfied to remain the same throughout', 'a smile on your face', 'the action is stilted']"
1	0	[('##in ##ching ##ly bleak and desperate', 0.11666113138198853), ('##ching ##ly bleak and desperate', 0.10733485221862793), ('##ly bleak and desperate', 0.07875722646713257), ('un ##fl ##in ##ching ##ly bleak and desperate', 0.03069901466369629)]	"['lend some dignity to a dumb story', 'saw how bad this movie was', ""that 's far too tragic to merit such superficial treatment"", 'on all cylinders', 'in world cinema']"
1	1	[('allows us to hope that nolan is poised to embark a major career as a commercial yet in ##vent ##ive filmmaker', 0.3821823000907898), ('us to hope that nolan is poised to embark a major career as a commercial yet in ##vent ##ive filmmaker', 0.37067943811416626), ('allows us to hope that nolan is poised to embark a major career as a commercial yet in ##vent ##ive filmmaker .', 0.36452531814575195), ('to hope that nolan is poised to embark a major career as a commercial yet in ##vent ##ive filmmaker', 0.36443614959716797), ('hope that nolan is poised to embark a major career as a commercial yet in ##vent ##ive filmmaker', 0.36081254482269287)]	"['goes to absurd lengths', 'remains utterly satisfied to remain the same throughout', ""that 's far too tragic to merit such superficial treatment"", 'sit through ,', 'very good viewing alternative']"
1	1	"[(""the production ' s aus ##ter ##e local ##es"", 0.16461890935897827), (""given the production ' s aus ##ter ##e local ##es"", 0.11090248823165894), (""are all as ##tou ##nding given the production ' s aus ##ter ##e local ##es"", 0.04335808753967285), ('as ##tou ##nding', -0.005036830902099609), ('##tou ##nding', -0.007168889045715332)]"	"['very good viewing alternative', ""that 's far too tragic to merit such superficial treatment"", 'contains no wit , only labored gags', 'the action is stilted', 'the greatest musicians']"
0	0	"[('very , very slow', -0.1753636598587036), ('slow - - very , very slow', -0.4415960758924484), ('s slow - - very , very slow', -0.46410683542490005), (""' s slow - - very , very slow"", -0.4747231714427471), (""it ' s slow - - very , very slow ."", -0.4990094415843487)]"	"[""the part where nothing 's happening ,"", 'a smile on your face', ""that 's far too tragic to merit such superficial treatment"", 'goes to absurd lengths', 'on all cylinders']"
1	1	[('although laced with humor and a few fan ##ciful touches , the film is a refreshing ##ly serious look at young women .', 0.4294842481613159), ('although laced with humor and a few fan ##ciful touches', 0.33989179134368896), ('laced with humor and a few fan ##ciful touches', 0.336689829826355), ('with humor and a few fan ##ciful touches', 0.2881094217300415), ('a refreshing ##ly serious look at young women', 0.26006776094436646)]	"['lend some dignity to a dumb story', 'saw how bad this movie was', ""that 's far too tragic to merit such superficial treatment"", 'in world cinema', 'the greatest musicians']"
0	0	[('a sometimes ted ##ious film .', -0.021235764026641846), ('sometimes ted ##ious', -0.09646192193031311), ('sometimes ted', -0.0967099666595459)]	"[""that 's far too tragic to merit such superficial treatment"", 'lend some dignity to a dumb story', 'a smile on your face', 'goes to absurd lengths', 'very good viewing alternative']"
1	0	"[(""or doing last year ' s taxes with your ex - wife ."", -0.03201013803482056), (""last year ' s"", -0.05322694778442383), (""last year ' s taxes"", -0.0533595085144043), (""doing last year ' s taxes with your ex - wife"", -0.06199830770492554), ('with your ex - wife', -0.15877178311347961)]"	"['a smile on your face', ""the part where nothing 's happening ,"", 'goes to absurd lengths', 'sit through ,', 'on all cylinders']"
0	1	"[('to know about music', 0.19167327880859375), ('know about music', 0.18860596418380737), ('about music', 0.13335704803466797), (""the film ' s"", 0.03785717487335205), ('comedy and romance', -0.0960111916065216)]"	"['lend some dignity to a dumb story', ""that 's far too tragic to merit such superficial treatment"", 'saw how bad this movie was', 'in world cinema', 'a smile on your face']"
1	0	[('in exactly 89 minutes', 0.261039137840271), ('exactly 89 minutes', 0.2355596423149109), ('most of which', 0.12594419717788696), ('as slowly', 0.1259053349494934), ('sank from qui ##rky to jerk ##y to utter turkey', 0.11988574266433716)]	"['comes from the brave , uninhibited performances', 'on the worst revenge-of-the-nerds clichés the filmmakers could dredge up', 'equals the original and in some ways even betters it', ""a depressed fifteen-year-old 's suicidal poetry"", 'by far the worst movie of the year']"
1	1	[('the me ##sm ##eri ##zing performances of the leads keep the film grounded and keep the audience ri ##vet ##ed .', 0.41589081287384033), ('keep the film grounded and keep the audience ri ##vet ##ed', 0.31917309761047363), ('the me ##sm ##eri ##zing performances of the leads', 0.2449778914451599), ('the me ##sm ##eri ##zing performances', 0.20521163940429688), ('keep the audience ri ##vet ##ed', 0.1893935203552246)]	['the action is stilted', 'contains no wit , only labored gags', 'remains utterly satisfied to remain the same throughout', 'goes to absurd lengths', 'on all cylinders']
0	0	[('robert forster , anne me ##ara , eugene levy , and reginald ve ##l ##jo ##hn ##son all in the same movie', 0.2831156253814697), ('it takes a strange kind of la ##zine ##ss to waste the talents of robert forster , anne me ##ara , eugene levy , and reginald ve ##l ##jo ##hn ##son all in the same movie .', 0.2347974181175232), ('of robert forster , anne me ##ara , eugene levy , and reginald ve ##l ##jo ##hn ##son all in the same movie', 0.2281915545463562), ('waste the talents of robert forster , anne me ##ara , eugene levy , and reginald ve ##l ##jo ##hn ##son all in the same movie', 0.19158202409744263), ('the talents of robert forster , anne me ##ara , eugene levy , and reginald ve ##l ##jo ##hn ##son all in the same movie', 0.18251419067382812)]	"['lend some dignity to a dumb story', ""that 's far too tragic to merit such superficial treatment"", 'saw how bad this movie was', 'in world cinema', 'the greatest musicians']"
0	0	[('the film', 0.02790689468383789), ('a lack', -0.03868508338928223), ('of humor', -0.10666441917419434), ('. . . the film suffers from a lack of humor -LRB- something needed to balance out the violence -RRB- . . .', -0.11255460977554321), ('a lack of humor', -0.11791571974754333)]	"['lend some dignity to a dumb story', 'saw how bad this movie was', ""that 's far too tragic to merit such superficial treatment"", 'in world cinema', 'sit through ,']"
1	1	"[(""we root for -LRB- clara and paul -RRB- , even like them , though perhaps it ' s an emotion closer to pity ."", 0.4198457598686218), (""root for -LRB- clara and paul -RRB- , even like them , though perhaps it ' s an emotion closer to pity"", 0.4174717664718628), (""though perhaps it ' s an emotion closer to pity"", 0.2806101441383362), (""perhaps it ' s an emotion closer to pity"", 0.25323623418807983), (""' s an emotion closer to pity"", 0.10528832674026489)]"	"['lend some dignity to a dumb story', ""that 's far too tragic to merit such superficial treatment"", 'saw how bad this movie was', 'in world cinema', 'the greatest musicians']"
1	0	"[(""even horror fans will most likely not find what they ' re seeking with trouble every day ; the movie lacks both thrill ##s and humor ."", 0.4726383686065674), (""even horror fans will most likely not find what they ' re seeking with trouble every day"", 0.43021160364151), (""will most likely not find what they ' re seeking with trouble every day"", 0.3929680585861206), (""find what they ' re seeking with trouble every day"", 0.37746912240982056), ('both thrill ##s and humor', 0.2723095417022705)]"	"[""that 's far too tragic to merit such superficial treatment"", 'lend some dignity to a dumb story', 'in world cinema', 'saw how bad this movie was', 'goes to absurd lengths']"
0	1	[('from india', 0.04216504096984863), ('high - spirited', -0.0044280290603637695), ('exquisite ##ly', -0.057761579751968384), ('high drama', -0.16073104739189148), ('a gorgeous , high - spirited musical from india', -0.2332734763622284)]	"['lend some dignity to a dumb story', ""that 's far too tragic to merit such superficial treatment"", 'saw how bad this movie was', 'in world cinema', 'on all cylinders']"
1	1	"[(""are raw and will strike a nerve with anyone who ' s ever had family trauma"", 0.08275824785232544), (""will strike a nerve with anyone who ' s ever had family trauma"", 0.04503285884857178), (""the emotions are raw and will strike a nerve with anyone who ' s ever had family trauma ."", 0.032215118408203125), (""strike a nerve with anyone who ' s ever had family trauma"", 0.011279106140136719), (""with anyone who ' s ever had family trauma"", -0.03681296110153198)]"	"['saw how bad this movie was', ""that 's far too tragic to merit such superficial treatment"", 'sit through ,', 'lend some dignity to a dumb story', 'a smile on your face']"
