predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('to As pen', -0.5282634198665619), ('from Den ver', -0.5313268601894379), ('As pen', -0.6589749157428741), ('Den ver', -0.6598960757255554)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
4	4	[('count y', -0.8025242984294891), ('Mode sto', -0.8033326119184494), ('California in', -0.8074493557214737), ('Mode sto ', -0.8725791573524475)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
3	3	[('Who was Galileo', -0.5789019465446472), ('was Galileo', -0.6666226089000702)]	['When was the Bill of Rights ratified ?', 'What was the longest war in U.S. history ?']
2	2	[('an atom', -0.7769496291875839), ('is an atom', -0.8581174910068512), ('What is an atom', -0.9161991029977798)]	['When is the Sun closest to the Earth ?', 'How many people are there in the world ?']
5	5	[('a state', -0.6331246495246887)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
5	5	[('the Se ars Building', -0.24679619073867798), ('Se ars', -0.5724401473999023)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
3	3	[('in which baseball team', -0.37911808490753174), ('a small interest', -0.44987279176712036), ('baseball team', -0.5910491943359375), ('in which', -0.6035456359386444)]	['When was the Bill of Rights ratified ?', 'What was the longest war in U.S. history ?']
1	1	[]	"[""What color are a cherry tree 's flowers ?"", 'What time of year do most people fly ?']"
2	2	[('orang e', -0.798325851559639), ('the ', -0.8031124919652939), ('turn orang e', -0.8554727137088776)]	['What state is Niagara Falls located in ?', 'What two states is Washington D.C. between ?']
2	2	[('is autism', -0.8066401034593582), ('What is autism', -0.8781512826681137)]	['When is the Sun closest to the Earth ?', 'What is the nature of learning ?']
4	4	[('in 1900', -0.7921093702316284), ('a world fair', -0.8582395911216736)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
3	3	"[('on a di me', -0.413080632686615), ('a di me', -0.5230758488178253), (""' s"", -0.6093132793903351)]"	['Who does the voices of the Simpsons ?', 'When was the Bill of Rights ratified ?']
5	5	[('a Yellow Lab rador', -0.21873849630355835)]	['What sound does Olympia , Washington , overlook ?', 'Where is the actress , Marion Davies , buried ?']
3	3	[('across the Pacific Ocean', -0.42302435636520386), ('the Pacific Ocean', -0.5150656998157501)]	['When was the Bill of Rights ratified ?', 'What was the longest war in U.S. history ?']
5	5	[('become a state', -0.4627392888069153), ('a state', -0.630308210849762)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
5	5	[('for cri cket s', -0.2642580270767212), ('cri cket s', -0.4109540581703186), ('an cy', -0.5911633968353271)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
1	1	[('mel ting', -0.6851368546485901)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
3	3	[('against poli o', -0.4859899878501892), ('poli o', -0.6116105318069458)]	['What was the longest war in U.S. history ?', 'When was the Bill of Rights ratified ?']
2	2	[('epi le psy', -0.8702353984117508), ('is epi le psy', -0.9269178733229637)]	['When is the Sun closest to the Earth ?', 'What does it take to become a lawyer ?']
5	5	[('the Titanic', -0.5671555995941162), ('sin k', -0.5824427604675293)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
3	3	[('to walk in space', -0.3734256625175476), ('walk in space', -0.48649924993515015), ('in space', -0.5962086617946625)]	['What was the longest war in U.S. history ?', 'When was the Bill of Rights ratified ?']
2	2	[('a bio sphere', -0.8086436688899994), ('is a bio sphere', -0.8934328928589821)]	['When is the Sun closest to the Earth ?', 'What does it take to become a lawyer ?']
4	4	[('the US', -0.8072001487016678), ('the Big Mudd', -0.8693182170391083), ('in the US', -0.8721020817756653), ('as the Big Mudd', -0.9238195791840553)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
2	2	[]	['When is the Sun closest to the Earth ?', 'Who was the architect of Central Park ?']
2	2	[('is cholesterol', -0.7840169370174408), ('What is cholesterol', -0.858401283621788)]	['When is the Tulip Festival in Michigan ?', 'What is the temperature today ?']
3	3	[('into sh computer', -0.4785667657852173), ('sh computer', -0.6072487235069275)]	['When was the Bill of Rights ratified ?', 'What was the longest war in U.S. history ?']
2	2	[('ca ffe ine', -0.8539405763149261), ('is ca ffe ine', -0.920057438313961)]	['When is the Sun closest to the Earth ?', 'What is the temperature today ?']
4	4	[('half way', -0.7733568400144577), ('North and South', -0.8520306050777435)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
4	4	[('John Wayne', -0.7799534499645233), ('John Wayne airport', -0.8382401615381241)]	['What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'Where is the actress , Marion Davies , buried ?']
4	4	[('the Philippines', -0.7737365961074829), ('is the Philippines in', -0.889801599085331)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
5	5	[('at the Kentucky Derby', -0.27775347232818604), ('of the horse s', -0.3453270196914673), ('the Kentucky Derby', -0.4014541506767273), ('the horse s', -0.46345049142837524)]	['What sound does Olympia , Washington , overlook ?', 'Where is the actress , Marion Davies , buried ?']
4	4	[]	['What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'Where is the actress , Marion Davies , buried ?']
2	2	[]	['When is the Sun closest to the Earth ?', 'What is a urologist ?']
5	5	[('of the earth', -0.419114887714386), ('the center', -0.5637485980987549), ('the earth', -0.5735346674919128)]	['What sound does Olympia , Washington , overlook ?', 'Where is the actress , Marion Davies , buried ?']
5	5	[('ele cted as President', -0.31830060482025146), ('as President', -0.5971647202968597)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
5	5	[('when he die d', -0.28083592653274536), ('Elvis Pres ley', -0.4187334179878235), ('he die d', -0.42485320568084717), ('die d', -0.5930632054805756)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
5	5	[('from the net', -0.44822967052459717), ('the service line', -0.4601321816444397), ('in tennis', -0.5977450311183929), ('the net', -0.5998923480510712)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
5	5	[('have per day', -0.3596994876861572), ('How much', -0.5387041866779327), ('per day', -0.5483689904212952)]	['Where was the Cisalpine Republic , 1797-185 , ?', 'Where was the Ligurian Republic , 1797-185 , ?']
5	5	[('are there', -0.6038290560245514)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
1	1	[('made from what plant', -0.4028131365776062), ('from what plant', -0.4991474151611328), ('called l inen', -0.6036682426929474), ('what plant', -0.6188076436519623), ('l inen', -0.7060425579547882)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
2	2	[('Te flo n', -0.8478902876377106)]	['When is the Sun closest to the Earth ?', 'What is the temperature today ?']
2	2	[]	['When is the Tulip Festival in Michigan ?', 'What do the 12 days of Christmas mean ?']
2	2	[('a sham', -0.7653730660676956), ('a sham an', -0.8392620533704758), ('is a sham an', -0.9099067896604538)]	['When is the Sun closest to the Earth ?', 'What does it take to become a lawyer ?']
1	1	[('a female wal rus', -0.6484845280647278)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
1	1	[('of tur key s', -0.5540171265602112), ('tur key s', -0.6518779098987579)]	"[""What was the date of CNN 's first broadcast ?"", 'What was the longest war in U.S. history ?']"
5	5	[]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
2	2	[]	['When is the Sun closest to the Earth ?', 'What is the temperature today ?']
5	5	[('in a gall on', -0.27579349279403687), ('a gall on', -0.4065413475036621), ('How many', -0.5474564433097839), ('a gall', -0.566014438867569)]	['Where was the Cisalpine Republic , 1797-185 , ?', 'Where was the Ligurian Republic , 1797-185 , ?']
3	3	[('in San Francisco', -0.3954041600227356), ('the chocolate company', -0.4531199336051941), ('San Francisco', -0.5431341826915741)]	['When was the Bill of Rights ratified ?', 'Who was Secretary of State during the Nixon administration ?']
2	2	[('amp hib ians', -0.7657460570335388)]	['When is the Sun closest to the Earth ?', 'What does it take to become a lawyer ?']
3	3	[('x - ray', -0.48904526233673096)]	['What was the longest war in U.S. history ?', 'When was the Bill of Rights ratified ?']
3	3	[]	['Who does the voices of the Simpsons ?', 'What was the longest war in U.S. history ?']
2	2	[]	"['When is the Sun closest to the Earth ?', ""What cigarette is `` a whole new world '' ?""]"
2	2	[]	['What does it take to become a lawyer ?', 'When is the Sun closest to the Earth ?']
2	2	[('engine s', -0.8256173133850098), ('in engine s', -0.8822846561670303)]	"['When is the Sun closest to the Earth ?', ""What 's the home of the Rockettes ?""]"
5	5	[]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
4	4	[('of Yu', -0.7673206031322479), ('the capital', -0.77400703728199)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
4	4	[('is Milan', -0.7897412329912186), ('Where is Milan', -0.8534017950296402)]	['What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'Where is the actress , Marion Davies , buried ?']
1	5	[('hum ming bird s', -0.5189375281333923), ('ming bird s', -0.5740397870540619), ('bird s', -0.6624636054039001)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?']
4	4	[('the United States', -0.8190920352935791), ('in the United States', -0.8915621265769005)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
