predicted_labels	true_labels	lil_interpretations	gil_interpretations
0	1	[('the choices', -0.14461123943328857), ('about the price', -0.24842935800552368), ('the quest', -0.2856904864311218), ('atlantic city', -0.2980617582798004), ('our own inner demons', -0.3583300709724426)]	['very funny , very enjoyable', 'too sappy for its own good']
1	1	[('than money', -0.11387544870376587), ('more valuable', -0.18304592370986938), ('more powerful', -0.19727212190628052), ('a sense', -0.19940221309661865), ('of purpose', -0.2021060585975647)]	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	"[('their husbands and fathers', -0.059110820293426514), ('in forbidden rev ##els', -0.0682687759399414), (""the city ' s"", -0.08187144994735718), ('forbidden rev ##els', -0.11523789167404175), ('of women', -0.1347866654396057)]"	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	[('with a lucrative deal', -0.03337907791137695), ('a lucrative deal', -0.04420417547225952), ('come to rio', -0.08322995901107788), ('to rio', -0.14358043670654297), ('his contact', -0.15099412202835083)]	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	[('that held the cigarettes', -0.11818510293960571), ('held the cigarettes', -0.19767284393310547), ('will never hold again', -0.26376569271087646), ('the cigarettes', -0.2868506908416748), ('hold again', -0.30142343044281006)]	['too sappy for its own good', 'meanwhile , more people end up dead']
1	1	[('cal ##den', -0.1933356523513794), ('ga ##vil ##an', -0.20470798015594482), ('in other fields', -0.2507895827293396), ('his rookie partner', -0.26098740100860596), ('as ##pire ##s', -0.26765042543411255)]	['an hour-and-a-half of inoffensive , unmemorable filler', 'meanwhile , more people end up dead']
1	1	[('based in new york', -0.12053817510604858), ('in new york', -0.1539093255996704), ('hip - hop', -0.1804688572883606), ('new york', -0.18216794729232788), ('an executive', -0.32151293754577637)]	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	[('his trusted friend silver', -0.06348860263824463), ('mutiny on his mind', -0.10507941246032715), ('even greater', -0.1280578374862671), ('on his mind', -0.13913202285766602), ('his mind', -0.2079988718032837)]	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	"[('ry ##lston ##e', -0.23931479454040527), (""women ' s"", -0.2707695960998535), ('in north yorkshire', -0.3125131130218506), ('north yorkshire', -0.3281784653663635), ('the women', -0.3757805824279785)]"	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	"[(""family '"", -0.3856489658355713)]"	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	[('before the summer ends', -0.050567030906677246), ('a broken heart', -0.08264178037643433), ('the summer ends', -0.09262704849243164), ('out of control', -0.0975084900856018), ('frustrated desire', -0.13701587915420532)]	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	[('got from the drugs', -0.09821170568466187), ('to buy a gun', -0.09928262233734131), ('from the drugs', -0.10417526960372925), ('buy a gun', -0.11780840158462524), ('the drugs', -0.13753485679626465)]	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	[('account for his absence', -0.04508906602859497), ('for his absence', -0.06879502534866333), ('his absence', -0.11948436498641968)]	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	[('slowly - returning', -0.0685112476348877)]	['meanwhile , more people end up dead', 'too sappy for its own good']
1	1	[('his sul ##try girlfriend', -0.04325366020202637), ('in ##fat ##uated', -0.14303267002105713), ('his relationship', -0.19380593299865723), ('with whom', -0.19456148147583008), ('##fat ##uated', -0.2043505311012268)]	['meanwhile , more people end up dead', 'too sappy for its own good']
