predicted_labels	true_labels	lil_interpretations	gil_interpretations
0	11	[('my card', -0.06933815777301788)]	"['How to access my virtual card', ""Please help me with my card.  It won't activate""]"
11	11	[('over a', -0.2173454947769642), ('over a week', -0.2246692320331931), ('my new card', -0.2280006054788828), ('over a week ago', -0.22881905874237418)]	"[""I haven't received my card"", ""I'm still waiting on my new card to be delivered!""]"
11	11	[('a card', -0.18641522619873285), ('has not arrived', -0.19224815722554922), ('ordered a card', -0.1936069605872035), ('it has not arrived', -0.1958025088533759)]	"[""Please help me with my card.  It won't activate"", 'Can I have a supplementary card?']"
12	11	[('will arrive', -0.22288194298744202), ('my card', -0.22450053691864014), ('my card will arrive', -0.25062292627990246)]	"[""My money hasn't been deposited yet. When will it be?"", ""i haven't received my order and want a refund""]"
11	11	[('arrived yet', -0.39747072383761406), ('has not arrived yet', -0.4094462636858225)]	"[""i haven't received my order and want a refund"", ""I'm still waiting on my new card to be delivered!""]"
12	11	[('my card', -0.12777799740433693)]	"[""I'm still waiting on my new card to be delivered!"", ""I can't seem to be able to use my card""]"
11	11	[('sent me', -0.154344130307436), ('the new card', -0.15964329987764359), ('you sent me', -0.1602944564074278)]	['Can I request a card?', 'How to access my virtual card']
11	11	[('received my', -0.1813403693959117)]	"[""I can't seem to use my card. Can you help?"", ""Please help me with my card.  It won't activate""]"
11	11	[('on that', -0.16777960769832134), ('waiting on that', -0.1728512980043888), ('still waiting on that', -0.17644922621548176)]	"[""I'm still waiting on my new card to be delivered!"", 'Can I use google pay to top up?']"
11	11	[('a week', -0.13213481660932302), ('my new card', -0.13667666353285313), ('for my new card', -0.1398379155434668)]	"[""I haven't gotten my new card"", ""My transfer hasn't appeared yet""]"
11	11	[('my card', -0.09617004171013832)]	['How to access my virtual card', 'Please delete my account and personal information']
12	11	[('a card delivery', -0.1715132836252451)]	['Can I have a supplementary card?', 'When will my card be delivered?']
11	11	[('2 weeks', -0.14641827810555696), ('what should i do', -0.14807386230677366), ('should i do', -0.14824838005006313), ('after 2 weeks', -0.1524898181669414)]	"[""I haven't gotten my new card"", ""My transfer hasn't appeared yet""]"
11	11	[('my new', -0.20007184892892838), ('on my new', -0.20643794536590576)]	"[""I'm still waiting on my new card to be delivered!"", ""I'm still waiting for my card""]"
11	11	[('my card', -0.16460718400776386), ('1 week', -0.1647950615733862), ('after 1 week', -0.17085769912227988)]	"[""My transfer hasn't appeared yet"", 'Can I top up online?']"
66	11	[('when it will arrive', 0.060258086770772934), ('for my bank card', 0.05001449957489967), ('my bank card', 0.035589296370744705), ('it will arrive', 0.035402070730924606), ('will arrive', 0.010431155562400818)]	"['I transferred some cash and it has not arrived yet', ""My card's expiration is approaching, how do I replace it""]"
11	11	[('than expected', -0.35394473746418953), ('my card', -0.36816166900098324), ('longer than expected', -0.3684171102941036), ('for my card', -0.37704977206885815)]	"[""I can't seem to use my card. Can you help?"", ""I'm still waiting on my new card to be delivered!""]"
11	11	[('been delivered', -0.3465730482712388)]	"[""Is there a reason my new card hasn't arrived?"", ""I'm still waiting on my new card to be delivered!""]"
