predicted_labels	true_labels	lil_interpretations	gil_interpretations
41	11	[('my card', -0.9566945787519217)]	"[""I tried to top up, but it didn't finish"", ""Explain why my card payment wouldn't go through""]"
11	11	[('over a', -0.9847166202962399), ('over a week', -0.9933798294514418), ('my new card', -0.9942054897546768), ('over a week ago', -0.9968531469348818)]	"[""I can't seem to use my card. Can you help?"", ""I'm in China and need a new card. Please help""]"
11	11	[('a card', -0.9841962195932865), ('has not arrived', -0.9921669482719153), ('ordered a card', -0.9921702623832971), ('it has not arrived', -0.9947190839448012)]	['My card did not work at store', 'Top-up is loaded into the card and no update']
11	11	[('will arrive', -0.9538294347003102), ('my card', -0.9562479453161359), ('my card will arrive', -0.9668372174492106)]	"[""I tried to make a transfer and it didn't work"", ""I wasn't able to withdraw money at an ATM""]"
11	11	[('arrived yet', -0.9848099602386355), ('has not arrived yet', -0.9977144927252084)]	['what are limits to top up', 'daughter needs card, how do i add her']
12	11	[('my card', -0.9880962045863271)]	['Reasons for top up cancellation', 'why would a merchant refuse a payment']
11	11	[('sent me', -0.9849678101018071), ('you sent me', -0.9946686145849526), ('the new card', -0.9948466271162033)]	"[""I can't seem to use my card. Can you help?"", ""I'm in China and need a new card. Please help""]"
11	11	[('received my', -0.9831079700961709)]	['I reside in the US, but I want a card', 'My card did not work at store']
11	11	[('on that', -0.9770725229755044), ('waiting on that', -0.9877582618501037), ('still waiting on that', -0.9905379416886717)]	"[""I can't seem to use my card. Can you help?"", ""I don't want to give you all my identify details""]"
11	11	[('a week', -0.5402185972779989), ('my new card', -0.5554542718455195), ('for my new card', -0.5576286953873932)]	['why would a merchant refuse a payment', 'What reasons could cause my top up to be reverted']
11	11	[('my card', -0.9815886542201042)]	"[""I can't seem to use my card. Can you help?"", 'I reside in the US, but I want a card']"
12	11	[('a card delivery', -0.9941560439765453)]	['Reasons for top up cancellation', 'I was wrongfully charged one pound']
11	11	[('2 weeks', -0.9847460770979524), ('should i do', -0.9926257291808724), ('after 2 weeks', -0.9935294191818684), ('what should i do', -0.9952813503332436)]	['what are limits to top up', 'What reasons could cause my top up to be reverted']
11	11	[('my new', -0.982313928194344), ('on my new', -0.9937082920223475)]	"[""I can't seem to use my card. Can you help?"", 'what are limits to top up']"
11	11	[('1 week', -0.9827525308355689), ('my card', -0.9867362920194864), ('after 1 week', -0.9935121652670205)]	['How do you top up with a cheque?', 'My card was declined but it shows as multiple charges?']
11	11	[('than expected', -0.9782516472041607), ('will arrive', -0.9790596775710583), ('it will arrive', -0.9856493112165481), ('my bank card', -0.9858582597225904), ('when it will arrive', -0.9880017666146159)]	['My card was declined but it shows as multiple charges?', 'I would like to link my card to my account']
11	11	[('than expected', -0.977999608963728), ('my card', -0.9820361062884331), ('longer than expected', -0.9903673850931227), ('for my card', -0.9908816595561802)]	['What, if any, is the limit  for auto top-up?', 'I reside in the US, but I want a card']
11	11	[('been delivered', -0.985010614618659)]	['what are limits to top up', 'daughter needs card, how do i add her']
11	11	[('a week', -0.9832449425011873), ('waiting a week', -0.9942137119360268), ('my new card', -0.994843206834048), ('been waiting a week', -0.9975398384267464)]	"[""I can't seem to use my card. Can you help?"", ""I'm in China and need a new card. Please help""]"
11	11	[('2 weeks', -0.9770810045301914), ('after 2 weeks', -0.9884676621295512), ('arrived after 2 weeks', -0.9920863782754168)]	"[""I'm in China and need a new card. Please help"", 'I think my card payment was cancelled. What happened?']"
11	11	[('my card', -0.9787359070032835)]	['what are limits to top up', 'phone is gone, what should i do']
11	11	[('i ordered', -0.9782922361046076), ('the card', -0.9821497406810522)]	"[""I can't seem to use my card. Can you help?"", 'Can I use visa or mastercard with your service']"
12	11	[('to arrive', -0.9846480926498771), ('take to arrive', -0.9909959828946739), ('my new card', -0.9911459751892835)]	['The date my card expires is coming up', 'Reasons for top up cancellation']
