predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('to As pen', -0.3083704710006714), ('from Den ver', -0.3271104693412781), ('As pen', -0.5262475907802582), ('Den ver', -0.5465268492698669)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
4	4	[('California in', -0.6879065930843353), ('Mode sto', -0.7032560408115387), ('count y', -0.706686407327652), ('Mode sto ', -0.7655066400766373)]	['Where is the actress , Marion Davies , buried ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'What sound does Olympia , Washington , overlook ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?']
3	3	[('Who was Galileo', -0.3550315499305725), ('was Galileo', -0.5335451662540436)]	"['What was the longest war in U.S. history ?', 'When was the Bill of Rights ratified ?', ""What was the date of CNN 's first broadcast ?"", 'Who was Secretary of State during the Nixon administration ?', 'Who was the 3rd president of the United States ?']"
2	2	[('an atom', -0.8852594196796417), ('is an atom', -0.9552409127354622), ('What is an atom', -0.985084037296474)]	['What is the nature of learning ?', 'What is the largest county in size in Massachusetts ?', 'What is the function of RAM ?', 'What is the population of Ohio ?', 'What was the longest war in U.S. history ?']
5	5	[('a state', -0.5945534110069275)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What is a fear of odors , body , ?']
5	5	[('the Se ars Building', -0.14994961023330688), ('Se ars', -0.5293575525283813)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
3	3	[('in which baseball team', -0.12368965148925781), ('a small interest', -0.21869146823883057), ('baseball team', -0.4428344964981079), ('in which', -0.44495493173599243)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'What is a fear of odors , body , ?', 'Where was the Ligurian Republic , 1797-185 , ?']
1	1	[]	"[""What color are a cherry tree 's flowers ?"", 'Who owns the rights on a TV program ?', 'Where in a tree does photosynthesis occur ?', 'What is the origin of the Christmas tree ?', 'Where did the name root beer come from ?']"
2	2	[('orang e', -0.8778973817825317), ('the ', -0.8913121446967125), ('turn orang e', -0.9496703408658504)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'What does caliente mean , in English ?', 'What is a fear of odors , body , ?', 'What D.H. Lawrence novel was originally titled Tenderness ?']
2	2	[('is autism', -0.8801004812121391), ('What is autism', -0.9547168202698231)]	['What is the largest county in size in Massachusetts ?', 'What is the population of Ohio ?', 'What is the nature of learning ?', 'What was the longest war in U.S. history ?', 'When is the Tulip Festival in Michigan ?']
4	4	[('in 1900', -0.70710089802742), ('a world fair', -0.7166220247745514)]	['What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'Where is the actress , Marion Davies , buried ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What college enlivens Hanover , New Hampshire ?']
3	3	"[('on a di me', -0.11948662996292114), ('a di me', -0.24855786561965942), (""' s"", -0.46832573413848877)]"	"['When was the Bill of Rights ratified ?', 'Who does the voices of the Simpsons ?', 'What was the longest war in U.S. history ?', 'Who was Secretary of State during the Nixon administration ?', ""What was the date of CNN 's first broadcast ?""]"
5	5	[('a Yellow Lab rador', -0.21439510583877563)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?']
3	3	[('across the Pacific Ocean', -0.18534600734710693), ('the Pacific Ocean', -0.3072872757911682)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'What are Kythnos , Siphnos , Seriphos and Mykonos ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'What is a fear of odors , body , ?']
5	5	[('become a state', -0.36737293004989624), ('a state', -0.5819026529788971)]	['Where is the actress , Marion Davies , buried ?', 'What sound does Olympia , Washington , overlook ?', 'Where was the Ligurian Republic , 1797-185 , ?', 'Where was the Cisalpine Republic , 1797-185 , ?', 'What is a fear of odors , body , ?']
