predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('often affecting', -0.5256672501564026)]	['an emotionally and spiritually compelling journey', 'of effecting change and inspiring hope']
0	0	[]	['scenes so true and heartbreaking', 'a film so graceless and devoid']
1	1	[('a commercial', -0.647417426109314), ('as a commercial', -0.7732138633728027), ('##vent ##ive filmmaker', -0.8244207948446274), ('in ##vent ##ive filmmaker', -0.8694691956043243)]	['a colorful , joyous celebration of life', 'a worthwhile glimpse of independent-community guiding lights']
1	1	"[('##tou ##nding', -0.6783843338489532), (""the production ' s"", -0.8292329758405685)]"	['a colorful , joyous celebration of life', 'an undeniably moving film to experience ,']
0	0	[]	['too bland and', 'exhilarating new']
1	1	[('young women', -0.4656233787536621), ('##ly serious', -0.4831368327140808), ('at young women', -0.5866577327251434)]	['an undeniably moving film to experience ,', 'an engaging and intimate first feature']
0	0	[]	['too bland and', 'overbearing and']
0	0	[('your ex - wife', -0.06661850214004517)]	['exhilarating new', 'finely crafted ,']
1	1	"[('about music', -0.527583509683609), ('comedy and romance', -0.6074849963188171), ('know about music', -0.680273562669754), ('of comedy and romance', -0.7254873812198639), (""the film ' s"", -0.7511806339025497)]"	['a colorful , joyous celebration of life', 'an undeniably moving film to experience ,']
0	0	[('an i ##gl ##oo', -0.045704543590545654), ('from qui ##rky', -0.07038456201553345), ('qui ##rky', -0.10231316089630127), ('exactly 89 minutes', -0.14826834201812744), ('most of which', -0.17056351900100708)]	['well worth revisiting as many times', 'over and over again']
1	1	[('the film', -0.49312931299209595), ('the audience', -0.5188668370246887), ('the leads', -0.5329898595809937), ('ri ##vet ##ed', -0.6523557007312775), ('keep the film grounded', -0.6963371634483337)]	['a colorful , joyous celebration of life', 'an emotionally and spiritually compelling journey']
0	0	[('of la ##zine ##ss', -0.025457143783569336), ('anne me ##ara', -0.031603217124938965), ('la ##zine ##ss', -0.045185625553131104), ('the same movie', -0.06678086519241333), ('robert forster', -0.11760091781616211)]	['is a truly , truly bad movie', 'is a truly , truly bad movie']
0	0	[('a lack of humor', -0.024384140968322754), ('balance out the violence', -0.03657209873199463), ('a lack', -0.08860409259796143), ('of humor', -0.12169015407562256), ('the violence', -0.12260687351226807)]	['is a truly , truly bad movie', 'is a truly , truly bad movie']
1	1	[('to pity', -0.37040942907333374), ('closer to pity', -0.4499896168708801), ('an emotion', -0.4669746160507202), ('even like them', -0.582339808344841)]	['a remarkably cohesive whole ,', 'inspiring , ironic ,']
0	0	"[(""they ' re seeking"", -0.056584060192108154), ('every day', -0.12511754035949707), ('most likely', -0.13774746656417847), ('the movie', -0.1453251838684082), ('with trouble', -0.1598670482635498)]"	['is a truly , truly bad movie', 'is a truly , truly bad movie']
1	1	[('from india', -0.45855385065078735), ('high drama', -0.48062098026275635)]	['a colorful , joyous celebration of life', 'an emotionally and spiritually compelling journey']
1	1	[('are raw', -0.5502105355262756), ('family trauma', -0.5660370588302612), ('a nerve', -0.5758059322834015), ('had family trauma', -0.6714645028114319)]	['a colorful , joyous celebration of life', 'an undeniably moving film to experience ,']
