predicted_labels	true_labels	lil_interpretations	gil_interpretations
1	1	[('often affecting', -0.5251764357089996)]	['jones has delivered a solidly entertaining and moving family drama', 'has delivered a solidly entertaining and moving family drama']
0	0	[]	['wholly believable and heart-wrenching depths of despair', 'a beautiful , aching sadness to it all']
1	1	[('##vent ##ive filmmaker', -0.38076967000961304), ('in ##vent ##ive filmmaker', -0.46285098791122437), ('a commercial', -0.5099839568138123), ('as a commercial', -0.64558145403862)]	['is needed to live a rich and full life', 'is needed to live a rich and full life']
1	1	"[('##tou ##nding', -0.4932514727115631), (""the production ' s"", -0.7107846736907959)]"	['the film is blazingly alive and admirable on many levels', 'for all its visual panache and compelling supporting characters']
0	0	[]	"[""it 's not too fast and not too slow"", 'very slow , uneventful']"
1	1	[('young women', -0.508291631937027), ('##ly serious', -0.5304148197174072), ('at young women', -0.6466931700706482)]	['gives a superb performance full of deep feeling', 'fresh by an intelligent screenplay and gripping performances']
0	0	[]	[', and gently tedious in its comedy', 'is fun , and host to some truly excellent sequences']
0	0	[('your ex - wife', -0.025291919708251953)]	['without a conclusion or pay off', 'your interest until the end and']
1	1	[('about music', -0.46686092019081116), ('know about music', -0.6025767624378204), ('comedy and romance', -0.6341983079910278), ('to know about music', -0.6764886677265167), ('of comedy and romance', -0.7662348747253418)]	"[""that chin 's film serves up with style and empathy"", 'to the gorgeous locales and exceptional lead performances']"
0	0	[('exactly 89 minutes', -0.21140742301940918), ('from qui ##rky', -0.2514866590499878), ('to utter turkey', -0.2761138677597046), ('most of which', -0.2846231460571289), ('qui ##rky', -0.30834805965423584)]	['serves up all of that stuff , nearly subliminally ,', 'after an 88-minute rip-off of the rock']
1	1	[('the audience', -0.4751895070075989), ('the film', -0.5706033110618591), ('keep the film grounded', -0.6910672187805176), ('the leads', -0.7285847067832947), ('ri ##vet ##ed', -0.8165801167488098)]	['with a visual style unique and inherent', 'with honest performances and exceptional detail']
0	0	[('eugene levy', -0.09143257141113281), ('the same movie', -0.11354094743728638), ('of la ##zine ##ss', -0.24007725715637207), ('the talents', -0.27113693952560425), ('anne me ##ara', -0.27139031887054443)]	"['it feels painfully redundant and inauthentic', ""it 's simply crude and unrelentingly exploitative""]"
0	0	[('a lack of humor', -0.04070925712585449), ('of humor', -0.0878300666809082), ('balance out the violence', -0.1664460301399231), ('the violence', -0.17539453506469727), ('a lack', -0.1908801794052124)]	"['failing to compensate for the paper-thin characterizations and facile situations', ""the script 's bad ideas and awkwardness""]"
1	1	[('even like them', -0.18912774324417114), ('closer to pity', -0.40701955556869507), ('to pity', -0.42248743772506714), ('an emotion', -0.4891011714935303)]	['carried by a strong sense of humanism', 'that affirms the nourishing aspects of love and companionship']
0	0	"[('every day', -0.16756153106689453), (""they ' re seeking"", -0.2007054090499878), ('the movie', -0.22985243797302246), ('with trouble', -0.2634219527244568), ('most likely', -0.44125378131866455)]"	['flaws , but also', 'lack depth or complexity ,']
1	1	[('high drama', -0.44663357734680176), ('from india', -0.5607012808322906)]	['with honest performances and exceptional detail', 'an effortlessly accomplished and richly resonant work']
1	1	[('are raw', -0.5197037756443024), ('family trauma', -0.5203561186790466), ('a nerve', -0.5958797633647919), ('had family trauma', -0.648210883140564)]	['is filled with raw emotions conveying despair and love', 'that is filled with raw emotions conveying despair and love']
1	1	[('in amelie', -0.2178177833557129), ('was in amelie', -0.2697591781616211), ('her outrageous charm', -0.3159342408180237), ('she was in amelie', -0.33904218673706055), ('a kn ##ack', -0.5063286423683167)]	['consistently funny , in an irresistible junior-high way ,', 'consistently funny , in an irresistible junior-high way , and']
0	0	[('plain old', -0.21042317152023315)]	['moldy-oldie , not-nearly - as-nasty - as-it', 'tattered and ugly past']
0	0	[('without benefit of song', -0.03292053937911987), ('benefit of song', -0.058957695960998535), ('of song', -0.11365056037902832), ('of grease', -0.15924960374832153), ('high school', -0.2407434582710266)]	['poor editing , bad bluescreen , and ultra-cheesy dialogue', 'poor editing , bad bluescreen , and']
1	0	[('humor ends', 0.18315035104751587), ('tragedy begins', 0.05443936586380005), ('political correct ##ness', -0.01984196901321411), ('such an uneven tone', -0.20884358882904053)]	['it rises in its courageousness , and comedic employment', ', it rises in its courageousness , and comedic employment']
0	0	[('lasts for days', -0.0721481442451477), ('for days', -0.08187514543533325), ('it did', -0.18949317932128906), ('felt like it did', -0.1930755376815796), ('like it did', -0.20702004432678223)]	"['you feel good , you feel sad ,', ""feel like it 's wasted yours""]"
1	0	[('did it better', -0.20568886399269104)]	['been there , done that , liked it much better', ', and better']
1	1	[('with surprises', -0.4548981189727783), ('filled with surprises', -0.5222895443439484), ('an original', -0.5795153975486755), ('my lips', -0.6047179102897644), ('read my lips', -0.7926607429981232)]	['fresh by an intelligent screenplay and gripping performances', 'an effortlessly accomplished and richly resonant work']
1	1	[('the spirit', -0.07940387725830078), ('of a man', -0.18581977486610413), ('a man', -0.218472421169281), ('his work', -0.22001969814300537), ('so closely', -0.26009291410446167)]	['is and always has been remarkable about clung-to traditions', 'is widely seen and debated with appropriate ferocity and thoughtfulness']
0	0	[('to formula romantic comedy', -0.18377482891082764), ('formula romantic comedy', -0.18488645553588867), ('to make people laugh', -0.20487439632415771), ('romantic comedy', -0.23227328062057495), ('make people laugh', -0.2545434236526489)]	['goes for sick and demented humor simply to do so', 'through a dreary tract of virtually plotless meanderings']
0	0	[('125 - year', -0.11896848678588867), ('the emotional connections', -0.16914254426956177), ('the material link', -0.17602425813674927), ('between past and present', -0.31749600172042847), ('past and present', -0.4058908224105835)]	['eventually becomes too heavy for the plot', 'the story and ensuing complications are too manipulative']
1	1	[('the democratic exercise', -0.3883616328239441), ('its significance', -0.38936537504196167), ('##s fun', -0.3938952088356018), ('off ##beat', -0.4361916780471802), ('at the democratic exercise', -0.48044419288635254)]	"[""that chin 's film serves up with style and empathy"", 'the ingenuity that parker displays in freshening the play']"
1	0	[]	['a pretty decent kid-pleasing , tolerable-to-adults lark of a movie', 'a pretty decent kid-pleasing , tolerable-to-adults lark of a movie']
0	0	[('this was god awful', -0.0540463924407959), ('was god awful', -0.13042175769805908), ('to look away', -0.155892014503479), ('god awful', -0.18661105632781982), ('look away', -0.2106858491897583)]	"[""it 's still terrible !"", 'truly awful and']"
1	1	[('the company', -0.3822832703590393), ('of men', -0.45025068521499634), ('most compelling', -0.4864976406097412), ('the company of men', -0.5656755566596985), ('the most compelling variations', -0.7482917606830597)]	['has delivered a solidly entertaining and moving family drama', 'has delivered a solidly entertaining and moving family drama']
0	0	[('numerous ya ##wn ##s', -0.07237458229064941), ('of smiles and tears', -0.10462576150894165), ('numerous ya', -0.1267545223236084), ('##wn ##s', -0.18358385562896729), ('smiles and tears', -0.19187700748443604)]	"['offers piercing domestic drama with spikes of sly humor', ""for `` shock humor '' will wear thin on all""]"
0	0	[('the grace of god', 0.11885392665863037), ('of god', 0.10643249750137329), ('a wary sense', 0.08943480253219604), ('its world', -0.04099005460739136), ('into its world', -0.05312889814376831)]	"[""'s a clarity of purpose and even-handedness"", ""it 's simply crude and unrelentingly exploitative""]"
0	0	[('in itself', -0.17322546243667603), ('of humor', -0.21263504028320312), ('no sense of humor', -0.2204074263572693), ('s just plain bored', -0.2887101173400879), ('just plain bored', -0.36193597316741943)]	['sleepwalk through vulgarities in a sequel you can refuse', 'sleepwalk through vulgarities in a sequel you can refuse']
