predicted_labels	true_labels	lil_interpretations	gil_interpretations
5	5	[('from denver to aspen', -0.35281306505203247), ('to aspen', -0.3707951307296753), ('from denver', -0.4397619366645813)]	['How long is human gestation ?', 'How fast is light ?']
4	4	[('modest ##o', -0.6142211258411407), ('modest ##o , california', -0.7673265561461449)]	['Where is Romania located ?', 'What province is Edmonton located in ?']
3	3	[('was galileo', -0.7751044183969498), ('who was galileo', -0.8529523015022278)]	['Who painted the Sistine Chapel ?', 'Who won the Battle of Gettysburg ?']
2	2	[('an atom', -0.5358761698007584), ('is an atom', -0.5999426543712616), ('what is an atom', -0.670072004199028)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
5	5	[('a state', -0.1977163553237915)]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
5	5	[('is the sears building', -0.24082380533218384), ('the sears building', -0.25417572259902954), ('the sears', -0.3405408263206482)]	['What U.S. Government agency registers trademarks ?', 'How long does a dog sleep ?']
3	3	[('baseball team', -0.6152994409203529), ('in which', -0.6280451267957687), ('a small interest', -0.67276281863451), ('in which baseball team', -0.6991405785083771)]	['Who won the Battle of Gettysburg ?', 'Who painted the Sistine Chapel ?']
1	1	[]	['What does the Peugeot company manufacture ?', 'What is Bombay duck ?']
2	2	[('turn orange', -0.7827852964401245)]	['What are binomial coefficients ?', 'How is energy created ?']
2	2	[('is autism', -0.618063360452652), ('what is autism', -0.7000063210725784)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
4	4	[('in 1900', -0.5488301217556), ('a world fair', -0.6736566424369812)]	['Who wrote The Godfather ?', 'Where is Romania located ?']
3	3	"[('a dime', -0.6394981816411018), (""person ' s"", -0.6542775332927704), ('on a dime', -0.6785770207643509), ('is on a dime', -0.70467215962708)]"	['Who won the Battle of Gettysburg ?', 'Who won World War II ?']
5	5	[('a yellow labrador', -0.16223055124282837), ('of a yellow labrador', -0.16686081886291504)]	['What U.S. Government agency registers trademarks ?', 'What are binomial coefficients ?']
3	3	[('the pacific ocean', -0.7638648301362991), ('across the pacific ocean', -0.8288348689675331)]	['How many people died on D-Day ?', 'What novel inspired the movie BladeRunner ?']
5	5	[('a state', -0.2515166997909546)]	['When did Charles Lindbergh die ?', 'When did Iraqi troops invade Kuwait ?']
5	5	[('for cricket ##s', -0.3416236639022827), ('for cricket', -0.4456939101219177)]	['What are binomial coefficients ?', 'What U.S. Government agency registers trademarks ?']
1	1	[('the highest melting point', -0.1359918713569641)]	['Who won the Battle of Gettysburg ?', 'Who wrote The Godfather ?']
3	3	[('pol ##io', -0.6891252398490906), ('against pol ##io', -0.7760038077831268)]	['Who developed the first polio vaccine ?', 'Who painted the Sistine Chapel ?']
2	2	[('ep ##ile ##psy', -0.7163688093423843), ('is ep ##ile ##psy', -0.7872680947184563)]	['What are binomial coefficients ?', 'What is a 2-sided object called ?']
5	5	[('did the titanic sink', -0.2504895329475403), ('the titanic', -0.37555480003356934)]	['When did Charles Lindbergh die ?', 'When is the Thai New Year ?']
